experiment,macro_f1,accuracy,macro_avg_precision,roc_auc,ece,f1_0,f1_1,precision_0,precision_1,recall_0,recall_1,ap_0,ap_1
llm_lora_llama,0.7023556342472717,0.8555811277330264,0.715527569004033,0.8469289216206464,0.08644040890886812,0.48879837067209775,0.9159128978224456,0.5063291139240507,0.9107261825449701,0.47244094488188976,0.9211590296495957,0.4669182707455762,0.9641368672624898
slm_finetuning_bertimbau,0.6982419194945868,0.8394706559263522,0.718485012983862,0.8429282424602585,0.09704238148909855,0.4918032786885246,0.9046805603006491,0.4576271186440678,0.9175329175329175,0.531496062992126,0.8921832884097035,0.4705072080069787,0.9664628179607453
llm_lora_cabrita,0.6893091397849462,0.8469505178365938,0.7391124788416665,0.8476372646815376,0.09523280679973822,0.468,0.9106182795698925,0.47560975609756095,0.9081769436997319,0.46062992125984253,0.9130727762803235,0.5136302374815218,0.9645947202018111
llm_fewshot_llama,0.5604876893939394,0.7295742232451093,0.5010881520536611,0.49908339877326646,0.037330636220916646,0.2878787878787879,0.8330965909090909,0.23399014778325122,0.8806306306306306,0.37401574803149606,0.7904312668463612,0.14532309336348878,0.8568532107438335
llm_prompt_cabrita,0.5338589076723017,0.810126582278481,0.5428343669483392,0.5947243033300083,0.11720996296035405,0.175,0.8927178153446034,0.23972602739726026,0.8624371859296482,0.1377952755905512,0.9252021563342318,0.19562967772322254,0.8900390561734558
slm_finetuning_xlmr,0.5031557218806617,0.8227848101265823,0.5029015608673658,0.49599932083961196,0.20211077964209853,0.10465116279069768,0.9016602809706258,0.2,0.8567961165048543,0.07086614173228346,0.9514824797843666,0.15830607905459468,0.8474970426801369
llm_fewshot_cabrita,0.5017576802204536,0.8158803222094362,0.5035838278368596,0.5263227709743828,0.8084000089774883,0.10614525139664804,0.8973701090442592,0.18269230769230768,0.8561811505507956,0.07480314960629922,0.942722371967655,0.14614499424626007,0.8610226614274591
llm_prompt_llama,0.4831836812272188,0.832566168009206,0.5114394715650313,0.5305940531018528,0.20773473598054418,0.05825242718446602,0.9081149352699716,0.16363636363636364,0.8544266191325015,0.03543307086614173,0.9690026954177897,0.16067436199378857,0.8622045811362741
