experiment,macro_f1,accuracy,macro_avg_precision,roc_auc,ece,f1_0,f1_1,precision_0,precision_1,recall_0,recall_1,ap_0,ap_1
llm_lora_llama,0.6371395035607258,0.8112773302646721,0.6167014494670219,0.7117282509497634,0.15806602646347018,0.3857677902621723,0.8885112168592794,0.3678571428571429,0.8964334705075446,0.40551181102362205,0.8807277628032345,0.31489403154071544,0.9185088673933283
slm_finetuning_bertimbau,0.6300546458380818,0.8049482163406214,0.6219731503104974,0.721191395886835,0.17502697307715073,0.3756906077348066,0.8844186839413569,0.35294117647058826,0.8951000690131125,0.4015748031496063,0.873989218328841,0.31249361289852273,0.931452687722472
llm_lora_cabrita,0.6232827225268446,0.810126582278481,0.6251121798962144,0.7140827620604029,0.15622808874270716,0.35797665369649806,0.888588791357191,0.35384615384615387,0.8903924221921515,0.36220472440944884,0.8867924528301887,0.3308281289046843,0.9193962308877444
slm_finetuning_xlmr,0.603910022666798,0.7871116225546605,0.6007417653566467,0.6989183840227519,0.1975236862589218,0.3345323741007194,0.8732876712328768,0.3079470198675497,0.887883008356546,0.3661417322834646,0.8591644204851752,0.27777110560356977,0.9237124251097236
llm_prompt_cabrita,0.5916634134880671,0.7738780207134638,0.5795360368875193,0.6359488082857567,0.21381214072432692,0.3188908145580589,0.8644360124180752,0.2848297213622291,0.8855123674911661,0.36220472440944884,0.8443396226415094,0.2659797955830445,0.8930922781919942
llm_fewshot_llama,0.5604876893939394,0.7295742232451093,0.5010881520536611,0.49908339877326646,0.037330636220916646,0.2878787878787879,0.8330965909090909,0.23399014778325122,0.8806306306306306,0.37401574803149606,0.7904312668463612,0.14532309336348878,0.8568532107438335
llm_prompt_llama,0.5516866214449166,0.7675489067894131,0.5405599467323405,0.5961569072733832,0.07174194771346343,0.24060150375939848,0.8627717391304348,0.2302158273381295,0.8698630136986302,0.25196850393700787,0.8557951482479784,0.19941921667156698,0.8817006767931141
llm_fewshot_cabrita,0.5017576802204536,0.8158803222094362,0.5035838278368596,0.5263227709743828,0.8084000089774883,0.10614525139664804,0.8973701090442592,0.18269230769230768,0.8561811505507956,0.07480314960629922,0.942722371967655,0.14614499424626007,0.8610226614274591
