experiment,macro_f1,accuracy,macro_avg_precision,roc_auc,ece,f1_0,f1_1,precision_0,precision_1,recall_0,recall_1,ap_0,ap_1
llm_lora_cabrita,0.9296447919986273,0.9297142857142857,0.9750556068622707,0.9777983064499257,0.05335437560081478,0.9274336283185841,0.9318559556786704,0.9257950530035336,0.9334073251942286,0.9290780141843972,0.9303097345132744,0.9794511334234253,0.9706600803011162
llm_lora_llama,0.9262230550746936,0.9262857142857143,0.9713165471376639,0.9764070639553128,0.05803041294642853,0.924072984108299,0.9283731260410882,0.9202813599062134,0.9319955406911928,0.9278959810874704,0.9247787610619469,0.9679421462086953,0.9746909480666325
slm_finetuning_bertimbauu,0.9130660998314921,0.9131428571428571,0.9710335891870194,0.9709754649678863,0.06543327508653912,0.9104829210836278,0.9156492785793563,0.9072769953051644,0.9187082405345212,0.9137115839243499,0.9126106194690266,0.97003529276661,0.9720318856074288
slm_finetuning_xlmr,0.8953593804883229,0.8954285714285715,0.9650932369364165,0.9639355687357476,0.09438088491984775,0.8926686217008798,0.898050139275766,0.8859138533178114,0.9046015712682379,0.8995271867612293,0.8915929203539823,0.9648042887921057,0.9653821850807274
llm_fewshot_llama,0.7553849346337415,0.7594285714285715,0.5010999103299176,0.5073105608903952,0.01369317136492048,0.7239344262295082,0.7868354430379747,0.812960235640648,0.7254901960784313,0.6524822695035462,0.8595132743362832,0.48281433878405655,0.5193854818757788
llm_prompt_cabrita,0.7026573150251901,0.7051428571428572,0.752063720817876,0.7671492865959539,0.03858259003502982,0.6754716981132075,0.7298429319371728,0.7217741935483871,0.6928429423459245,0.6347517730496454,0.7710176991150443,0.7673323416818953,0.7367950999538566
llm_prompt_llama,0.6455565737169385,0.6588571428571428,0.6947890214087522,0.718682006945752,0.06347545099258423,0.5768958185683912,0.7142173288654858,0.720353982300885,0.6295358649789029,0.48108747044917255,0.8252212389380531,0.6737748681859357,0.7158031746315687
llm_fewshot_cabrita,0.4441328614986918,0.5537142857142857,0.49063103875419417,0.47054200924705536,0.4965711397443499,0.197327852004111,0.6909378709932726,0.7559055118110236,0.5378927911275416,0.11347517730496454,0.9657079646017699,0.48342857142857143,0.4978335060798169
